,kor,eng
153,그녀는 계속해서 다이어트를 해요 .,She is constantly on a diet .
154,그녀는 계속해서 사람들과 교류하려고 노력해요 .,She kept trying to interact with others .
155,그녀는 계속해서 정답을 맞추지 못했어요 .,She consistently did not get the right answer .
156,그녀는 계좌에 현금이 입금되었는지 확인했어요 .,She checked if money got transferred to her account .
157,그녀는 고관절 수술을 받았습니다 .,She had a hip joint surgery .
158,그녀는 고등학교를 갓 졸업했습니다 .,She s fresh out of high school .
159,그녀는 고양이만 보면 겁을 먹어요 .,She always gets scared of cats .
160,그녀는 고양이에게 먹이를 주고 있어 .,She is feeding her cat .
161,그녀는 고양이와 함께 행복하게 살았습니다 .,She lived happily with her cat .
162,그녀는 고지식한 사람이에요 .,She is a na ve person .
163,그녀는 고통을 가지고 평생을 살아야 해요 .,She has to live in pain for her whole life .
164,그녀는 고향으로 귀농을 할 예정입니다 .,She is going to go back to her hometown for farming .
165,그녀는 곧 정년 연장을 신청할 것입니다 .,She will soon ask for the extension of retirement .
166,그녀는 곧 필리핀으로 여행 갈 계획입니다 .,She is planning to go to the Philippines soon .
167,그녀는 곧 잘 적응할 거에요 .,She will get through it soon .
168,그녀는 곱창과 피자를 가장 좋아해요 .,She likes tripe and pizza the most .
169,그녀는 공부하기 위해 미국으로 갔어 .,She went to the USA to study .
170,그녀는 공부하는 걸 그만두고 싶어 해요 .,She wants to quit studying .
171,그녀는 공부하러 어딘가로 갔습니다 .,She has gone to somewhere to study .
172,그녀는 공부할 여건이 못 됩니다 .,She doesn t have the conditions to study .
173,그녀는 과거에 판사로 일했어요 .,She worked as a judge in the past .
174,그녀는 과수원을 하나 운영하고 있습니다 .,She runs am orchard .
175,그녀는 과일을 많이 샀습니다 .,She bought a lot of fruit .
176,그녀는 과체중 되는 것을 피해야 합니다 .,She should avoid becoming overweight .
177,그녀는 과학 분야에 지식이 해박합니다 .,She is knowledgeable about science .
178,그녀는 과학을 공부합니다 .,She studies science .
179,그녀는 과학을 더 공부하고 싶어 합니다 .,She wants to study science more .
180,그녀는 관능적인 모델이에요 .,She is a sultry model .
181,그녀는 관대하기로 유명한 여자입니다 .,She is widely well known for her leniency .
182,그녀는 관심을 가질 수도 안 가질 수도 있어 .,She might have an interest in this or not .
183,그녀는 괜찮은 사람 같던데요 .,She seems like a good one .
184,그녀는 굉장한 월급을 받습니다 .,She gets a great salary .
185,그녀는 굉장한 음역을 가지고 있어요 .,She has an amazing vocal range .
186,그녀는 굉장히 노래를 잘합니다 .,She is really good at singing .
187,그녀는 굉장히 다정한 성격입니다 .,She s very gentle .
188,그녀는 굉장히 마음을 예쁘게 씁니다 .,She has a kind heart .
189,그녀는 굉장히 매혹적이에요 .,She is very fascinating .
190,그녀는 굉장히 유머러스했습니다 .,She was very humorous .
191,그녀는 굉장히 적극적인 사람이에요 .,She is very aggressive .
192,그녀는 굉장히 현실적이에요 .,She has her feet on the ground .
193,그녀는 교내활동에 열심히 참여했습니다 .,She participated really hard on school activities .
194,그녀는 교수의 자질이 부족합니다 .,She lacks in qualities of professor .
195,그녀는 교실에 늦게 갔습니다 .,She went to her classroom late .
196,그녀는 교양도 없고 수준도 낮습니다 .,She is uneducated and lower than the standard .
197,그녀는 교육을 받지 않습니다 .,She doesn t get any education .
198,그녀는 교육을 받지 않았습니다 .,She didn t get any education .
199,그녀는 교육이 가장 투자가치가 있다고 생각합니다 .,She thinks that it is the most valuable to invest in education .
200,그녀는 교통카드로 지불하고 있습니다 .,She is paying by credit card .
201,그녀는 교황의 허락을 받아 재혼했어요 .,She got married again with permission from the pope .
202,그녀는 구운 빵에 버터를 골고루 발랐어요 .,She thoroughly spread the butter on her toast .
203,그녀는 국악을 좋아해서 이 서포터즈에 참여하게 되었다 .,She likes traditional Korean music so she came to join the supporters .
204,그녀는 궁지에 몰려 있었습니다 .,She had no way out .
205,그녀는 귀걸이와 검은색 시계를 하고 있다 .,She wears earrings and a black watch .
206,그녀는 귀신을 보는 역할을 맡았어요 .,Her role was to see ghosts .
207,그녀는 귀여운 외모에 걸맞는 활발한 성격을 가지고 있다 .,She has a cute face that matches her active personality .
208,그녀는 귀여운 외모와 특유의 분위기 뛰어난 연기력으로 매우 사랑받았습니다 .,She gained huge popularity with cute appearance her unique style and great performance .
209,그녀는 귀여워서 남자들한테 인기가 좋을 것 같아 .,I think she must be popular to men because she s cute .
210,그녀는 규정에 의한 진급 대상이에요 .,She is promoted regarding the regulation .
211,그녀는 그 나라의 풍습과 문화를 열심히 공부해야 된다 .,She needs to study hard that country s customs and culture .
212,그녀는 그 남자를 보고 한눈에 반했어요 .,She fell in love with him at first sight .
213,그녀는 그 남자를 왕으로 임명했습니다 .,She appointed him as the king .
214,그녀는 그 남자에게 사랑받아서 좋겠어요 .,She must be happy beloved by him .
215,그녀는 그 남자의 애인이야 .,She is his lover .
216,그녀는 그 사람들에게 고마워했어요 .,She thanked them .
217,그녀는 그 사람들에게서 긍정적인 변화를 느꼈습니다 .,She felt positive changes that happened to them .
218,그녀는 그 사람들을 참새로 만들었어요 .,She turned them into sparrows .
219,그녀는 그 사람들이 가져온 닭을 먹었습니다 .,She ate the chicken that they brought .
220,그녀는 그 사람들이 바뀌길 원했어요 .,She wanted them to be changed .
221,그녀는 그 사람들이 항상 웃길 원해요 .,She wants them to smile all the time .
222,그녀는 그 사람보다 더욱 지적이에요 .,She is more intelligent than him .
223,그녀는 그 상을 받을 만해요 .,She deserves the prize .
224,그녀는 그 어떠한 외동 자녀 관련 설명에도 해당하지 않아요 .,She doesn t fit the description of an only child .
225,그녀는 그 연설에서 말문이 막혔어요 .,She was struck dumb at the speech .
226,그녀는 그 영화로 여우 조연상을 받았어요 .,She was awarded the supporting actress prize for the movie .
227,그녀는 그 웨이터에게 디저트 메뉴 하나를 가져오게 했습니다 .,She ordered a waiter to bring her the dessert menu .
228,그녀는 그 음악의 안무 담당이었어요 .,She was a choreographer of the music .
229,그녀는 그 인형을 나에게 자랑했어요 .,She bragged to me about the doll .
230,그녀는 그 조직에 새 멤버로 합류할 것입니다 .,She is going to join the group as a new member .
231,그녀는 그 지도를 유심히 보았습니다 .,She started at her map .
232,그녀는 그 집에서 부모님과 오랫동안 행복하게 살고 싶어 합니다 .,She wants to live in that house with her parents happily ever after .
233,그녀는 그 책을 이해하기에는 너무 어리석다 .,She is too stupid to understand that book .
234,그녀는 그 책을 집중하여 읽는 것처럼 보입니다 .,She seems to be concentrating on reading the book .
235,그녀는 그 책이 정말 재미있다면서 그 책을 추천해 주었다 .,She recommended the book saying that it was really interesting .
236,그녀는 그 파티에서 퀸이 되었기 때문에 매우 긴장했어요 .,She was nervous because she was the queen of that party .
237,그녀는 그 학교 총장입니다 .,She is chancellor of the school .
238,그녀는 그 할머니를 밖으로 내쫓았어요 .,She kicked the grandmother out .
239,그녀는 그 회사를 살 수 있을 만큼 부유해요 .,She is rich enough to buy a company .
240,그녀는 그가 그들을 괴롭히는 것을 알게 됐어 .,She realized that he bullies them .
241,그녀는 그가 또 다른 곳에서 사냥하는 것을 보았습니다 .,She saw that he hunted at another place .
242,그녀는 그가 매니저 자격이 충분하다고 추천합니다 .,She recommends him since he is qualified as a manager .
243,그녀는 그가 바람피운 것에 대해서 복수했어요 .,She avenged on him for cheating on her .
244,그녀는 그가 한 농담에 농담으로 답했어요 .,She responded to his joke with jokes .
245,그녀는 그거 없이도 잘 지내고 있는 것 같은데요 .,She seems to be doing fine without one .
246,그녀는 그걸 아름다운 정원으로 만들었어 .,She made it into a beautiful garden .
247,그녀는 그걸 하는 것을 좋아하지 않아요 .,She doesn t like to do it .
248,그녀는 그것에 관해 심사숙고하고 오늘 그와 함께 그 제안을 토의해야 합니다 .,She has to deliberate about it and discuss the offer with him today .
249,그녀는 그것을 경건한 마음으로 받아들였어요 .,She received it devoutly .
250,그녀는 그것을 그 남자에게 주었어요 .,She gave it to him .
251,그녀는 그것을 두 시간 전에 끝냈어야 했어요 .,She should have finished it two hours ago .
252,그녀는 그것을 매우 창피해했어요 .,She shamed about it a lot .
253,그녀는 그것을 사 달라고 한달 전부터 간절히 원했습니다 .,She begged me to buy it for a month .
254,그녀는 그것을 월요일과 목요일 사이에 하길 원해요 .,She wants to do it between Monday and Thursday .
255,그녀는 그것이 사실일 거라는 걸 짐작했어요 .,She guessed that it is true .
256,그녀는 그것이 좋은지 아닌지 평가할 수 있어 .,She can evaluate it whether good or not .
257,그녀는 그게 만족스럽지 못하다네요 .,She said it s not good enough .
258,그녀는 그곳에 매일 옵니까 ?,Does she visit there every day ?
259,그녀는 그곳에서 뜨거운 열기를 느낄 수 있었습니다 .,She was able to feel the enthusiasm .
260,그녀는 그곳에서 일하는 남자를 좋게 생각했습니다 .,She thought the man who is working there was a nice person .
261,그녀는 그곳에서 자주 꺼내 먹습니다 .,She often takes out of there and eats .
262,그녀는 그곳에서 카드를 제작하는 일을 해요 .,She works there as a card manufacturer .
263,그녀는 그곳에서 커피를 만들고 있었습니다 .,She was making coffee there .
264,그녀는 그곳을 잘 알거에요 .,I believe she knows that place well .
265,그녀는 그날을 너무 기대해요 .,She is waiting for that day .
266,그녀는 그녀 위에 물을 끼얹었습니다 .,He poured water over her .
267,그녀는 그녀가 가장 좋아하는 뮤지컬인 조각 인형을 불렀어요 .,She sang her most famous musical piece piece is doll .
268,그녀는 그녀만의 백인 세계에 살고 있습니다 .,She is living in her own white people s world .
269,그녀는 그녀의 의무에 대해 무관심해요 .,She is not interested in her duties .
270,그녀는 그동안 우리 데이트를 취소해 왔어요 .,She calls off our dates all the time .
271,그녀는 그들에게 불쌍한 사람 들을 도와주라고 말했어요 .,She told them to help the people in need .
272,그녀는 그들에게 이를 닦으라고 했습니다 .,She asked them to brush their teeth .
273,그녀는 그들을 10년간 보지 못했어요 .,She hasn t seen them for 10 years .
274,그녀는 그들을 새로 만들었다 .,She made them the birds .
275,그녀는 그들의 아픔과 슬픔에 공감할 수 있습니다 .,She can sympathize with their pain and sadness .
276,그녀는 그들이 서로 미소 짓는 것을 보았다 .,She saw they were smiling at each other .
277,그녀는 그때 공장을 살펴보고 있었어요 .,At that time she was looking around the factory .
278,그녀는 그때 누구와 말하고 있었습니까 ?,Who was she talking to then ?
279,그녀는 그때 뵙곤 영원히 못 뵌 채 돌아가셨어요 .,She passed away before she saw me again .
280,그녀는 그때도 계속 토하고 있었어요 .,She was still throwing up at that moment .
281,그녀는 그러한 마음가짐으로 모든 일을 해결해요 .,She solves every problem with that kind of mind .
282,그녀는 그를 너무 좋아해서 심장 마비로 죽었습니다 .,She passed away from a heart attack because she liked him so much .
283,그녀는 그를 안으며 감사하다고 인사를 했어요 .,She said thanks hugging him .
284,그녀는 그림을 그리며 살아가길 원해요 .,She wants to live drawing pictures .
285,그녀는 그림을 이용해 우리를 이해시켰다 .,She made us understand it using paintings .
286,그녀는 그림을 정말 잘 그립니다 .,She draws paintings really well .
287,그녀는 그에 대한 그리움을 느끼고 있어요 .,She feels a yearning for him .
288,그녀는 그에게 바보 같은 남자라고 말했습니다 .,She told him that he was a fool .
289,그녀는 그에게 연민을 느꼈어요 .,She felt pity for him .
290,그녀는 그와 결혼하기 위해 노력했어요 .,She tried hard to get married .
291,그녀는 그와 시시덕거렸어요 .,She flirted with him .
292,그녀는 그의 깔끔하고 순수한 면이 좋았다 .,She liked a neat and pure side of him .
293,그녀는 그의 내연녀였어요 .,She was his concubine .
294,그녀는 그의 데이트 상대로 어울리지 않아 .,She does not suit him as a good match .
295,그녀는 그의 사랑을 달콤하게 만들어 줍니다 .,She makes his love sweet .
296,그녀는 그의 야망의 희생자가 됐어요 .,She fell victim to his ambition .
297,그녀는 그의 연기가 점점 좋아지고 있다고 생각합니다 .,She thinks his acting is getting better .
298,그녀는 그중에서 네팔 만두인 모가 정말 맛있었다고 느꼈습니다 .,She felt Mo the bun of Nepal was very delicious .
299,그녀는 극도로 흥분해 있어요 .,She is frantic .
300,그녀는 글씨와 그림에 뛰어났습니다 .,She was outstanding in writing letters and drawing .
301,그녀는 금식 중이라 물만 필요해요 .,She is fasting and only needs water .
302,그녀는 금요일에 부산에 있는 해운대에 다녀왔습니다 .,She went to Haeundae in Busan on Friday .
303,그녀는 금요일에는 일하지 않았습니다 .,She didn t work on Friday .
304,그녀는 긍정적인 마음을 가지고 있으며 평소에 운동을 많이 합니다 .,I used to exercise a lot and think positively at ordinary times .
305,그녀는 기계 엔지니어입니다 .,She is a mechanical engineer .
306,그녀는 기념식에 참석만 하는 건가요 ?,Does she only attend the ceremony ?
307,그녀는 기록을 남기기 위해 편지를 썼다고 해요 .,She wrote a letter to keep the data .
308,그녀는 기본부터 다시 배워야 합니다 .,She has to learn from basics again .
309,그녀는 기분이 나빴음에도 불구하고 그들을 무시했습니다 .,Even though she felt bad she ignored them .
310,그녀는 기분이 나쁜 상태로 식사를 했습니다 .,She had a meal while she was in a bad mood .
311,그녀는 기분이 언짢아 있어요 .,She is in a bad mood .
312,그녀는 기뻐하는 것처럼 보였습니다 .,She seemed to be pleased .
313,그녀는 기존에 무상 샘플을 20개만 받았습니다 .,She got 20 free samples originally .
314,그녀는 기차로 그곳에 갔습니다 .,She went to that place by train .
315,그녀는 기차에 가방을 놓고 왔어요 .,She left her bag on the train .
316,그녀는 기회가 된다면 다음에 당신에게 연락할 것입니다 .,She will call you next time if she has a chance .
317,그녀는 긴 속눈썹을 가지고 있습니다 .,She has long eyelashes .
318,그녀는 길 건너편의 지붕이 빨간 집에 살아요 .,She lives ina house with a red roof across the street .
319,그녀는 길옆에 있는 꽃을 땁니다 .,She is picking flowers beside the road .
320,그녀는 김치와 야채는 먹지 않습니다 .,She does not eat Kimchi and vegetable .
321,그녀는 김태희와 닮은 듯 안 닮은 듯합니다 .,She kind of looks similar to Kim Tea hee .
322,그녀는 깊은 생각에 잠긴 표정이에요 .,She has a deep meditative expression .
323,그녀는 깊이 슬퍼하고 있어요 .,She s been deep in sadness .
324,그녀는 까르보나라가 파스타보다 낫다고 생각합니다 .,She thinks carbonara is better than pasta .
325,그녀는 까마득히 생각이 안 나서 불안해할지도 몰라 .,Maybe she is unrest because she cannot remember it at all .
326,그녀는 깨끗한 해변을 원합니다 .,She wants a clean beach .
327,그녀는 꼭 우리 엄마 같아요 .,She is like my mother .
328,그녀는 꼭두각시처럼 남편이 시키는 대로 따랐어 .,She followed her husband s instructions like a puppet .
329,그녀는 꽃 향기를 맡는 중이에요 .,She is smelling the flowers .
330,그녀는 꽤 센스가 있습니다 .,She is quite sensible .
331,그녀는 끔찍한 사건으로부터 자신을 보호하기를 바라 .,She wants to protect herself from a terrible incident .
332,그녀는 끝가지 눈을 감지 않았습니다 .,She didn t close her eyes until the end .
333,그녀는 끝까지 그를 찾으려 했습니다 .,She tried to find him until the last minute .
334,그녀는 끝까지 시위를 포기하지 않았어 .,She didn t give up protesting to the end .
335,그녀는 끝내주게 매력있어요 .,She is really charming .
336,그녀는 끝마치는 대로 여기 올 것입니다 .,She will come as soon as she finishes .
337,그녀는 끝부분에 발음이 좀 뭉개져요 .,Her pronunciation crushes a bit at the end .
338,그녀는 끝없는 노력으로 결과를 얻어냈어 .,She earned this result through endless effort .
